position,source_name,occurrence,canonical_name,entity,field_class,unit,proposed_silver_routing,predictive_signal_value,schema_diff
161,Gun Ov Temp Derating Set,1,gun_ov_temp_derating_set,CONNECTOR,CONTINUOUS_TELEMETRY,degC,CONNECTOR_TELEMETRY,HIGH,NEW_IN_REAL
162,PLC Comm Fail,1,plc_comm_fail,COMMUNICATION,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
163,E Lock Failed,1,e_lock_failed,CHARGER,STATE,,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
164,Energy Meter Comm Fail,1,energy_meter_comm_fail,COMMUNICATION,ALARM_FLAG,kWh,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
165,Gun locked by CMS,1,gun_locked_by_cms,COMMUNICATION,STATE,,COMMUNICATION_OBSERVATION,MEDIUM,NEW_IN_REAL
166,Fuse Fail Alarm,1,fuse_fail_alarm,ALARM,ALARM_FLAG,,ALARM_OBSERVATION,MEDIUM,NEW_IN_REAL
167,Auxillary Power Fail,1,auxillary_power_fail,CHARGER,STATE,kW,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
168,Gun Temperature Derating Status,1,gun_temperature_derating_status,CONNECTOR,CONTINUOUS_TELEMETRY,degC,CONNECTOR_TELEMETRY,HIGH,NEW_IN_REAL
169,Gun Rect Fail,1,gun_rect_fail,RECTIFIER,ALARM_FLAG,,RECTIFIER_TELEMETRY,MEDIUM,NEW_IN_REAL
170,Gun Rect Comm Fail,1,gun_rect_comm_fail,COMMUNICATION,ALARM_FLAG,,ALARM_OBSERVATION,MEDIUM,NEW_IN_REAL
171,Gun Dc+ Ultra Temp,1,gun_dc_ultra_temp,CONNECTOR,ALARM_FLAG,degC,CONNECTOR_TELEMETRY,HIGH,NEW_IN_REAL
172,Gun Dc- Ultra Temp,1,gun_dc_ultra_temp,CONNECTOR,ALARM_FLAG,degC,CONNECTOR_TELEMETRY,MEDIUM,NEW_IN_REAL
173,Gun Dc Contactor Fail,1,gun_dc_contactor_fail,CONTACTOR,ALARM_FLAG,,ALARM_OBSERVATION,MEDIUM,NEW_IN_REAL
174,Gun DC+ Temp Sensor Disconnect,1,gun_dc_temp_sensor_disconnect,CONNECTOR,CONTINUOUS_TELEMETRY,degC,CONNECTOR_TELEMETRY,HIGH,NEW_IN_REAL
175,Gun DC- Temp Sensor Disconnect,1,gun_dc_temp_sensor_disconnect,CONNECTOR,CONTINUOUS_TELEMETRY,degC,CONNECTOR_TELEMETRY,HIGH,NEW_IN_REAL
176,GUN Temperature Sensor Disconnect,1,gun_temperature_sensor_disconnect,CONNECTOR,CONTINUOUS_TELEMETRY,degC,CONNECTOR_TELEMETRY,HIGH,NEW_IN_REAL
177,GUN DC+ Temp Sensor Loose,1,gun_dc_temp_sensor_loose,CONNECTOR,CONTINUOUS_TELEMETRY,degC,CONNECTOR_TELEMETRY,HIGH,NEW_IN_REAL
178,GUN DC- Temp Sensor Loose,1,gun_dc_temp_sensor_loose,CONNECTOR,CONTINUOUS_TELEMETRY,degC,CONNECTOR_TELEMETRY,HIGH,NEW_IN_REAL
179,Gun Not Placed Back Alarm,1,gun_not_placed_back_alarm,CONNECTOR,ALARM_FLAG,,CONNECTOR_TELEMETRY,HIGH,NEW_IN_REAL
180,Voltage Calibration Error,1,voltage_calibration_error,CHARGER,STATE,V,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
181,Power Section Failed,1,power_section_failed,CHARGER,STATE,kW,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
182,Ems Output Voltage,1,ems_output_voltage,CHARGER,CONTINUOUS_TELEMETRY,V,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
183,Ems Output Current,1,ems_output_current,CHARGER,CONTINUOUS_TELEMETRY,A,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
184,Ems Output Power,1,ems_output_power,CHARGER,CONTINUOUS_TELEMETRY,kW,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
185,Ems Cumulative Energy,1,ems_cumulative_energy,COUNTER,COUNTER,kWh,LIFECYCLE_COUNTERS,MEDIUM,NEW_IN_REAL
186,AC Contactor Switching Cycle,1,ac_contactor_switching_cycle,CONTACTOR,STATE,,CONTACTOR_OBSERVATION,MEDIUM,NEW_IN_REAL
187,AC Contactor Feedback Status,1,ac_contactor_feedback_status,CONTACTOR,STATE,,CONTACTOR_OBSERVATION,LOW,NEW_IN_REAL
188,AC Over Voltage,1,ac_over_voltage,CHARGER,STATE,V,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
