position,alarm_name,occurrence,entity,total_rows,null_count,null_percentage,unique_count,non_normal_count,activation_rate_pct,observed_states
295,Fan 22 Fail,1,CHARGER,10000,0,0.0,2,19,0.19,Not alarm (9981); NA (19)
296,Fan 23 Fail,1,CHARGER,10000,0,0.0,2,19,0.19,Not alarm (9981); NA (19)
297,DC Section Fan Fail,1,CHARGER,10000,0,0.0,3,27,0.27,Not alarm (9973); NA (19); Alarm (8)
323,SMR Inner Comm Interrupt,1,COMMUNICATION,10000,4737,47.37,1,0,0.0,Not alarm (5263)
327,SMR MDL Fault,1,SMR,10000,4737,47.37,2,6,0.06,Not alarm (5257); Alarm (6)
329,SMR Fan Fault,1,SMR,10000,4737,47.37,1,0,0.0,Not alarm (5263)
333,SMR CAN Communication Interrupt,1,COMMUNICATION,10000,4737,47.37,1,0,0.0,Not alarm (5263)
338,SMR Input Unbalance,1,SMR,10000,4737,47.37,1,0,0.0,Not alarm (5263)
342,SMR Fuse Burn Out,1,SMR,10000,4737,47.37,1,0,0.0,Not alarm (5263)
343,SMR PFC DCDC Comm Fail,1,COMMUNICATION,10000,4737,47.37,1,0,0.0,Not alarm (5263)
344,SMR Bus Unbalanced Voltage,1,SMR,10000,4737,47.37,1,0,0.0,Not alarm (5263)
349,SMR Output Derating Temp,1,SMR,10000,4737,47.37,1,0,0.0,Not alarm (5263)
350,SMR Output Derating AC,1,SMR,10000,4737,47.37,1,0,0.0,Not alarm (5263)
351,SMR DCDC Eeprom Faults,1,SMR,10000,4737,47.37,1,0,0.0,Not alarm (5263)
352,SMR PFC Eeprom Faults,1,SMR,10000,4737,47.37,1,0,0.0,Not alarm (5263)
353,SMR Module Fail,1,SMR,10000,4737,47.37,2,1706,17.06,Normal (3557); NA (1706)
354,SMR Module Comm Fail,1,COMMUNICATION,10000,4737,47.37,3,1837,18.37,Normal (3426); NA (1706); Abnormal (131)
379,Floating SMR1 Fail,1,SMR,10000,0,0.0,2,5812,58.12,NA (5812); Not alarm (4188)
380,Floating SMR1 Group Fail,1,SMR,10000,0,0.0,2,5812,58.12,NA (5812); Not alarm (4188)
381,Floating SMR1 Comm Fail,1,COMMUNICATION,10000,0,0.0,2,5812,58.12,NA (5812); Not alarm (4188)
382,Floating SMR1 Group Comm Fail,1,COMMUNICATION,10000,0,0.0,3,5856,58.56,NA (5812); Not alarm (4144); Alarm (44)
383,Floating SMR2 Fail,1,SMR,10000,0,0.0,2,5812,58.12,NA (5812); Not alarm (4188)
384,Floating SMR2 Group Fail,1,SMR,10000,0,0.0,2,5812,58.12,NA (5812); Not alarm (4188)
385,Floating SMR2 Comm Fail,1,COMMUNICATION,10000,0,0.0,2,5812,58.12,NA (5812); Not alarm (4188)
386,Floating SMR2 Group Comm Fail,1,COMMUNICATION,10000,0,0.0,3,5836,58.36,NA (5812); Not alarm (4164); Alarm (24)
387,Floating SMR3 Fail,1,SMR,10000,0,0.0,2,5812,58.12,NA (5812); Not alarm (4188)
388,Floating SMR3 Group Fail,1,SMR,10000,0,0.0,2,5812,58.12,NA (5812); Not alarm (4188)
389,Floating SMR3 Comm Fail,1,COMMUNICATION,10000,0,0.0,2,5812,58.12,NA (5812); Not alarm (4188)
390,Floating SMR3 Group Comm Fail,1,COMMUNICATION,10000,0,0.0,3,5860,58.6,NA (5812); Not alarm (4140); Alarm (48)
391,Floating SMR4 Fail,1,SMR,10000,0,0.0,2,5812,58.12,NA (5812); Not alarm (4188)
392,Floating SMR4 Group Fail,1,SMR,10000,0,0.0,2,5812,58.12,NA (5812); Not alarm (4188)
393,Floating SMR4 Comm Fail,1,COMMUNICATION,10000,0,0.0,2,5812,58.12,NA (5812); Not alarm (4188)
394,Floating SMR4 Group Comm Fail,1,COMMUNICATION,10000,0,0.0,3,5872,58.72,NA (5812); Not alarm (4128); Alarm (60)
407,AC1 Contactor Fail  Alarm,1,CONTACTOR,10000,0,0.0,3,5923,59.23,NA (5911); Not alarm (4077); Alarm (12)
408,AC2 Contactor Fail  Alarm,1,CONTACTOR,10000,0,0.0,3,5931,59.31,NA (5911); Not alarm (4069); Alarm (20)
409,AC3 Contactor Fail  Alarm,1,CONTACTOR,10000,0,0.0,3,5931,59.31,NA (5911); Not alarm (4069); Alarm (20)
410,AC4 Contactor Fail  Alarm,1,CONTACTOR,10000,0,0.0,3,5923,59.23,NA (5911); Not alarm (4077); Alarm (12)
411,AC5 Contactor Fail  Alarm,1,CONTACTOR,10000,0,0.0,3,5919,59.19,NA (5911); Not alarm (4081); Alarm (8)
412,AC6 Contactor Fail  Alarm,1,CONTACTOR,10000,0,0.0,3,5959,59.59,NA (5911); Not alarm (4041); Alarm (48)
413,AC1 Contactor Welded Alarm,1,CONTACTOR,10000,0,0.0,2,6534,65.34,NA (6534); Not alarm (3466)
414,AC2 Contactor Welded Alarm,1,CONTACTOR,10000,0,0.0,2,6534,65.34,NA (6534); Not alarm (3466)
415,AC3 Contactor Welded Alarm,1,CONTACTOR,10000,0,0.0,2,6534,65.34,NA (6534); Not alarm (3466)
416,AC4 Contactor Welded Alarm,1,CONTACTOR,10000,0,0.0,2,6534,65.34,NA (6534); Not alarm (3466)
417,AC5 Contactor Welded Alarm,1,CONTACTOR,10000,0,0.0,2,6534,65.34,NA (6534); Not alarm (3466)
418,AC6 Contactor Welded Alarm,1,CONTACTOR,10000,0,0.0,2,6534,65.34,NA (6534); Not alarm (3466)
425,Merger Contactor (C0) Fail Alarm,1,CONTACTOR,10000,0,0.0,3,5923,59.23,NA (5911); Not alarm (4077); Alarm (12)
426,Merger Contactor (C1) Fail Alarm,1,CONTACTOR,10000,0,0.0,3,5931,59.31,NA (5911); Not alarm (4069); Alarm (20)
427,Merger Contactor (C2) Fail Alarm,1,CONTACTOR,10000,0,0.0,2,5911,59.11,NA (5911); Not alarm (4089)
428,Merger Contactor (C3) Fail Alarm,1,CONTACTOR,10000,0,0.0,2,5911,59.11,NA (5911); Not alarm (4089)
429,Merger Contactor (C4) Fail Alarm,1,CONTACTOR,10000,0,0.0,3,5923,59.23,NA (5911); Not alarm (4077); Alarm (12)
430,External Contactor Fail Alarm(Ring),1,CONTACTOR,10000,0,0.0,2,5911,59.11,NA (5911); Not alarm (4089)
431,Merger Contactor (C0) Welded Alarm,1,CONTACTOR,10000,0,0.0,2,6534,65.34,NA (6534); Not alarm (3466)
432,Merger Contactor (C1) Welded Alarm,1,CONTACTOR,10000,0,0.0,3,6546,65.46,NA (6534); Not alarm (3454); Alarm (12)
433,Merger Contactor (C2) Welded Alarm,1,CONTACTOR,10000,0,0.0,2,6534,65.34,NA (6534); Not alarm (3466)
434,Merger Contactor (C3) Welded Alarm,1,CONTACTOR,10000,0,0.0,3,6546,65.46,NA (6534); Not alarm (3454); Alarm (12)
435,Merger Contactor (C4) Welded Alarm,1,CONTACTOR,10000,0,0.0,3,6546,65.46,NA (6534); Not alarm (3454); Alarm (12)
445,SMR Fail Count,1,SMR,10000,8108,81.08,2,36,0.36,0 (1856); 1 (36)
446,SMR Comm Fail Count,1,COMMUNICATION,10000,8108,81.08,4,47,0.47,0 (1845); 1 (35); 2 (8); 4 (4)
447,GUNA SMR Fail Count,1,SMR,10000,9899,98.99,1,0,0.0,0 (101)
448,GUNA SMR Comm Fail Count,1,COMMUNICATION,10000,9899,98.99,2,67,0.67,1 (67); 0 (34)
449,GUNB SMR Fail Count,1,SMR,10000,9899,98.99,1,0,0.0,0 (101)
450,GUNB SMR Comm Fail Count,1,COMMUNICATION,10000,9899,98.99,2,60,0.6,1 (60); 0 (41)
451,FR1 SMR Fail Count,1,SMR,10000,9899,98.99,1,0,0.0,0 (101)
452,FR1 SMR Comm Fail Count,1,COMMUNICATION,10000,9899,98.99,2,44,0.44,0 (57); 1 (44)
453,FR2 SMR Fail Count,1,SMR,10000,9899,98.99,1,0,0.0,0 (101)
454,FR2 SMR Comm Fail Count,1,COMMUNICATION,10000,9899,98.99,2,44,0.44,0 (57); 1 (44)
