position,source_name,source_occurrence,canonical_name,entity,field_class,data_type,unit,null_count,null_percentage,unique_count,variability_class,min,max,mean,median,std,P01,P05,P25,P50,P75,P95,P99,zero_count,negative_count,sentinel_hits,top_values
67,Fan 11 Status,1,fan_11_status,CHARGER,STATE,STRING,,281,2.81,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Off (8017); On (1702)
68,Fan 12 Status,1,fan_12_status,CHARGER,STATE,STRING,,281,2.81,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Off (8017); On (1702)
69,Fan 13 Status,1,fan_13_status,CHARGER,STATE,STRING,,281,2.81,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Off (8023); On (1696)
70,Fan 14 Status,1,fan_14_status,CHARGER,STATE,STRING,,281,2.81,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Off (8023); On (1696)
71,Fan 15 Status,1,fan_15_status,CHARGER,STATE,STRING,,281,2.81,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Off (8017); On (1702)
72,Fan 16 Status,1,fan_16_status,CHARGER,STATE,STRING,,281,2.81,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Off (8029); On (1690)
73,Fan 17 Status,1,fan_17_status,CHARGER,STATE,STRING,,281,2.81,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Off (8023); On (1696)
74,Fan 18 Status,1,fan_18_status,CHARGER,STATE,STRING,,281,2.81,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Off (8053); On (1666)
75,Fan 19 Status,1,fan_19_status,CHARGER,STATE,STRING,,281,2.81,1,CONSTANT,,,,,,,,,,,,,0,0,,Off (9719)
76,Fan 20 Status,1,fan_20_status,CHARGER,STATE,STRING,,281,2.81,1,CONSTANT,,,,,,,,,,,,,0,0,,Off (9719)
77,Fan 21 Status,1,fan_21_status,CHARGER,STATE,STRING,,281,2.81,1,CONSTANT,,,,,,,,,,,,,0,0,,Off (9719)
78,Fan 22 Status,1,fan_22_status,CHARGER,STATE,STRING,,281,2.81,1,CONSTANT,,,,,,,,,,,,,0,0,,Off (9719)
79,Fan 23 Status,1,fan_23_status,CHARGER,STATE,STRING,,281,2.81,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Off (9713); On (6)
80,DC Section FAN Status,1,dc_section_fan_status,CHARGER,STATE,STRING,,281,2.81,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Off (7974); On (1745)
